q_bps,S_eff_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER_clip,sWER,P_tx_W,E_slot_J,violate_lat,violate_eng,violate_sem,arrivals_bps,delta_queue_used,Q_t_used,energy_budget_per_slot_j,semantic_budget,latency_budget_q_bps,action_in_guard_set,fallback_used,feasible_set_nonempty,t,algorithm,seed,V
5550778.022112293,5550778.022112293,7117587695.864372,0.0,17.918224057284974,0.8461538461538463,3.0,5550778.022112293,8.930373254686128,0.7706160686777717,4.7564557327445,0.06088606681387502,0.06088606681387502,0.06088606681387502,0.8461538461538463,0.016923076923076926,0,0,0,400.0,0.08,7117587695.864372,0.5,0.3,400.0,1,0,1,1689,lagrangian_ppo,2026,800.0
7354863.896268442,7354863.896268442,7123138073.886484,0.0,17.918224057284974,1.4923076923076923,3.0,7354863.896268442,11.274584191938995,0.6395243963712391,4.963725346174563,0.009068663456359245,0.009068663456359245,0.009068663456359245,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,7123138073.886484,0.5,0.3,400.0,1,0,1,1690,lagrangian_ppo,2026,800.0
4432470.08774358,4432470.08774358,7130492537.782753,0.0,17.918224057284974,0.9538461538461538,2.0,4432470.08774358,8.629409797120442,0.6944193903489402,4.711033344817069,0.0722416637957329,0.0722416637957329,0.0722416637957329,0.9538461538461538,0.019076923076923075,0,0,0,400.0,0.08,7130492537.782753,0.5,0.3,400.0,1,0,1,1691,lagrangian_ppo,2026,800.0
6892397.138401968,6892397.138401968,7134924607.870497,0.0,17.918224057284974,1.1692307692307693,3.0,6892397.138401968,10.699566810241578,0.6759788728352661,4.935538274258856,0.01611543143528596,0.01611543143528596,0.01611543143528596,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,7134924607.870497,0.5,0.3,400.0,1,0,1,1692,lagrangian_ppo,2026,800.0
5213799.74029309,5213799.74029309,7141816605.008899,0.0,17.918224057284974,1.3846153846153846,2.0,5213799.74029309,10.07912602452814,0.6009802460080114,4.88985746498512,0.02753563375372012,0.02753563375372012,0.02753563375372012,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,7141816605.008899,0.5,0.3,400.0,1,0,1,1693,lagrangian_ppo,2026,800.0
2775881.3358464087,2775881.3358464087,7147030004.749192,0.0,17.918224057284974,0.4153846153846154,3.0,2775881.3358464087,4.3091520257664,0.9140161013015401,3.879647448858985,0.28008813778525377,0.28008813778525377,0.28008813778525377,0.4153846153846154,0.008307692307692308,0,0,0,400.0,0.08,7147030004.749192,0.5,0.3,400.0,1,0,1,1694,lagrangian_ppo,2026,800.0
2495508.0039276164,2495508.0039276164,7149805486.085038,0.0,17.918224057284974,1.4923076923076923,1.0,2495508.0039276164,6.664494968922785,0.6288095578378382,4.341243267465121,0.16468918313371994,0.16468918313371994,0.16468918313371994,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,7149805486.085038,0.5,0.3,400.0,1,0,1,1695,lagrangian_ppo,2026,800.0
2017500.0349152067,2017500.0349152067,7152300594.088965,0.0,17.918224057284974,1.276923076923077,1.0,2017500.0349152067,4.8413119662845405,0.7372106644330619,3.9761690959801954,0.25595772600495115,0.25595772600495115,0.25595772600495115,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,7152300594.088965,0.5,0.3,400.0,1,0,1,1696,lagrangian_ppo,2026,800.0
2027231.1604586814,2027231.1604586814,7154317694.12388,0.0,17.918224057284974,1.1692307692307693,1.0,2027231.1604586814,4.880170891696341,0.735193325894159,3.9834579179425833,0.2541355205143542,0.2541355205143542,0.2541355205143542,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,7154317694.12388,0.5,0.3,400.0,1,0,1,1697,lagrangian_ppo,2026,800.0
2403796.2322666114,2403796.2322666114,7156344525.284339,0.0,17.918224057284974,0.4153846153846154,2.0,2403796.2322666114,4.151140780129675,0.8780584354296879,3.8522420404406796,0.28693948988983004,0.28693948988983004,0.28693948988983004,0.4153846153846154,0.008307692307692308,0,0,0,400.0,0.08,7156344525.284339,0.5,0.3,400.0,1,0,1,1698,lagrangian_ppo,2026,800.0
