q_bps,S_eff_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER_clip,sWER,P_tx_W,E_slot_J,violate_lat,violate_eng,violate_sem,arrivals_bps,delta_queue_used,Q_t_used,energy_budget_per_slot_j,semantic_budget,latency_budget_q_bps,action_in_guard_set,fallback_used,feasible_set_nonempty,t,algorithm,seed,V
3555708.6192902704,3555708.6192902704,32901193.692612205,0.0,0.0,1.6,2.0,3555708.6192902704,6.8648572993822015,0.7843375650738718,4.382353356166805,0.15441166095829895,0.15441166095829895,0.15441166095829895,1.6,0.032,0,0,0,400.0,0.08,32901193.692612205,0.5,0.3,400.0,1,0,1,12,lagrangian_ppo,2029,800.0
3793331.4725365834,3793331.4725365834,36456502.31190248,0.0,0.0,1.1692307692307693,3.0,3793331.4725365834,6.239763691683953,0.8691543262958824,4.253725892140966,0.18656852696475862,0.18656852696475862,0.18656852696475862,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,36456502.31190248,0.5,0.3,400.0,1,0,1,13,lagrangian_ppo,2029,800.0
4143129.342061821,4143129.342061821,40249433.784439065,0.0,0.0,1.3846153846153846,3.0,4143129.342061821,6.824788980479828,0.8517547707193198,4.374153447626831,0.15646163809329228,0.15646163809329228,0.15646163809329228,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,40249433.784439065,0.5,0.3,400.0,1,0,1,14,lagrangian_ppo,2029,800.0
3672186.608714251,3672186.608714251,44392163.12650088,0.0,0.0,1.3846153846153846,3.0,3672186.608714251,6.029392549983792,0.8749368639601192,4.2105349457119665,0.19736626357200845,0.19736626357200845,0.19736626357200845,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,44392163.12650088,0.5,0.3,400.0,1,0,1,15,lagrangian_ppo,2029,800.0
2718146.418277488,2718146.418277488,48063949.735215135,0.0,0.0,1.4923076923076923,2.0,2718146.418277488,4.956007707163728,0.8551141268376331,3.9977709007485167,0.2505572748128709,0.2505572748128709,0.2505572748128709,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,48063949.735215135,0.5,0.3,400.0,1,0,1,16,lagrangian_ppo,2029,800.0
2524799.241606425,2524799.241606425,50781696.15349262,0.0,0.0,1.1692307692307693,2.0,2524799.241606425,4.468303981296647,0.8694500241659578,3.907846202956252,0.27303844926093696,0.27303844926093696,0.27303844926093696,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,50781696.15349262,0.5,0.3,400.0,1,0,1,17,lagrangian_ppo,2029,800.0
2633289.736894041,2633289.736894041,53306095.395099044,0.0,0.0,0.7384615384615385,3.0,2633289.736894041,4.001186163853811,0.9196589176034858,3.8267918185492213,0.29330204536269466,0.29330204536269466,0.29330204536269466,0.7384615384615385,0.01476923076923077,0,0,0,400.0,0.08,53306095.395099044,0.5,0.3,400.0,1,0,1,18,lagrangian_ppo,2029,800.0
2970156.8124798457,2970156.8124798457,55938985.131993085,0.0,0.0,1.276923076923077,3.0,2970156.8124798457,4.711113332883812,0.9060817951069328,3.9519771693480115,0.26200570766299713,0.26200570766299713,0.26200570766299713,1.276923076923077,0.02553846153846154,0,0,0,400.0,0.08,55938985.131993085,0.5,0.3,400.0,1,0,1,19,lagrangian_ppo,2029,800.0
2642688.6807752717,2642688.6807752717,58908741.94447293,0.0,0.0,0.7384615384615385,3.0,2642688.6807752717,4.021851441802087,0.9192916116060599,3.83026645354742,0.29243338661314494,0.29243338661314494,0.29243338661314494,0.7384615384615385,0.01476923076923077,0,0,0,400.0,0.08,58908741.94447293,0.5,0.3,400.0,1,0,1,20,lagrangian_ppo,2029,800.0
2306084.80318157,2306084.80318157,61551030.6252482,0.0,0.0,0.9538461538461538,2.0,2306084.80318157,3.887488455323676,0.8848099813684284,3.8078633100880643,0.2980341724779839,0.2980341724779839,0.2980341724779839,0.9538461538461538,0.019076923076923075,0,0,0,400.0,0.08,61551030.6252482,0.5,0.3,400.0,1,0,1,21,lagrangian_ppo,2029,800.0
2944659.176892324,2944659.176892324,63856715.42842977,0.0,0.0,0.8461538461538463,3.0,2944659.176892324,4.659431647179749,0.9071395418388994,3.9424746981802583,0.2643813254549354,0.2643813254549354,0.2643813254549354,0.8461538461538463,0.016923076923076926,0,0,0,400.0,0.08,63856715.42842977,0.5,0.3,400.0,1,0,1,22,lagrangian_ppo,2029,800.0
