P,B,snr_db,per
20.0,5.0,10.600000000000001,1.0647909619137742e-10
20.0,5.0,10.8,3.6079773720871403e-11
20.0,5.0,11.0,1.161750346280782e-11
20.0,5.0,11.200000000000001,3.546234530083662e-12
20.0,5.0,11.4,1.0236102345847003e-12
20.0,5.0,11.600000000000001,2.7865681752777105e-13
20.0,5.0,11.8,7.134672384472977e-14
20.0,5.0,12.0,1.7131391583847143e-14
20.0,5.0,12.200000000000001,3.8460176877672504e-15
20.0,5.0,12.4,8.047366643780643e-16
20.0,5.0,12.600000000000001,1.5641527689427505e-16
20.0,5.0,12.8,2.814352511995639e-17
20.0,5.0,13.0,4.670589871487152e-18
20.0,5.0,13.200000000000001,7.122039633687663e-19
20.0,5.0,13.4,9.939029507980498e-20
20.0,5.0,13.600000000000001,1.2640853340045511e-20
20.0,5.0,13.8,1.4588209959778574e-21
20.0,5.0,14.0,1.5206584254106463e-22
20.0,5.0,14.200000000000001,1.4248938232653727e-23
20.0,5.0,14.4,1.1941900403693677e-24
20.0,5.0,14.600000000000001,8.904727854637067e-26
20.0,5.0,14.8,5.8753351358244524e-27
20.0,5.0,15.0,3.4103993656548496e-28
20.0,5.0,15.200000000000001,1.7310763805282114e-29
20.0,5.0,15.4,7.635189759887969e-31
20.0,5.0,15.600000000000001,2.90697209355151e-32
20.0,5.0,15.8,9.487867694841694e-34
20.0,5.0,16.0,2.635424169267024e-35
20.0,5.0,16.2,6.182803112524935e-37
20.0,5.0,16.400000000000002,1.2153925192620246e-38
20.0,5.0,16.6,1.9852915834693196e-40
20.0,5.0,16.8,2.6712738104826532e-42
20.0,5.0,17.0,2.933796641422999e-44
20.0,5.0,17.2,2.6049727845772265e-46
20.0,5.0,17.400000000000002,1.8513399832840897e-48
20.0,5.0,17.6,1.0421305071472314e-50
20.0,5.0,17.8,4.595569622337843e-53
20.0,5.0,18.0,1.5694279950854236e-55
20.0,5.0,18.2,4.101061292878464e-58
20.0,5.0,18.400000000000002,8.097023207212411e-61
20.0,5.0,18.6,1.1920432405648057e-63
20.0,5.0,18.8,1.2905921341404027e-66
20.0,5.0,19.0,1.0128057722929076e-69
20.0,5.0,19.200000000000003,5.674358787693226e-73
20.0,5.0,19.400000000000002,2.2339003115028644e-76
20.0,5.0,19.6,6.077780429208356e-80
20.0,5.0,19.8,1.1230469855760778e-83
20.0,5.0,20.0,1.3838965267367376e-87
